weather_comment,count
スッキリしない空,18352
日差しの活用を,16110
変わりやすい空,14268
穏やかな空,12956
梅雨の中休み,9830
強い日差し,8495
雲が優勢の空,8035
日差しが届いて,7930
熱中症に注意,7665
雲の多い空,7553
にわか雨が心配,6971
雨の降りやすい空,6518
青空が広がる,6354
急な雨に注意,6123
日差し届く,5927
晴れて穏やか,5912
傘が必須,5779
傘が活躍,5712
雲優勢の空,5640
日差しが届いても,5586
晴れて穏やかな空,5344
雨が降りやすく,5241
雨が降ったり止んだり,5150
強雨や雷に注意,5149
晴れていても,5079
日差しに油断禁物,4998
梅雨空,4961
折り畳み傘がお守り,4823
ニワカ雨が心配,4709
段々と太陽登場,4699
強雨や雷雨に注意,4572
暑さとゲリラ雷雨にご用心,40
夏のような暑さと急な雷雨に注意,20
汗ばむ暑さ,3523
天気急変に注意,3935
太陽サンサン,4616
日差し届いても,4524
天気下り坂,4148
日差しが届く,4106
雲が主役の空,4076
段々と雲増量,3839
パッとしない空,3256
お出かけ日和,3036
すっきりしない空,2987
段々と天気回復,2955
雲が多く,2821
日焼けに注意,1765
天気の急変に注意,1722
空の変化に注意,1344
天気急変が心配,2201
午後は天気急変に注意,200
朝は霧に注意,182
午後は天気急変注意,104
朝は霧の発生に注意,18
穏やかな天気,2009
夜は強まる風と高波に注意,4
夜は天気急変に注意,4
お出かけＯＫ,1992
天気回復,1834
天気は下り坂,1670
紫外線に注意,608
昼間は気温上昇,606
半袖日和,1493
天気急変注意,377
気持ち良い空,334
お出かけを楽しめる天気,269
天気回復へ,1250
気温ダウン,1246
ドンヨリ空,1233
昼間もヒンヤリ,206
午前中から本降り,202
午後は天気急変が心配,199
午後は天気急変,190
空の変化に注意を,165
午前中は濃霧が心配,144
昼間は穏やか,138
昼間は天気回復,115
ＵＶ対策を,113
昼間は半袖日和,112
朝晩肌寒くても,105
昼間は洗濯ＯＫ,101
天気の急変に要注意,94
気持ちの良い空,89
気温変化に注意,88
昼間も肌寒い,84
青い空に青い海,78
空の様子に注意,73
午後には天気回復,71
午後は天気回復,65
天気の急変にご注意を,59
嬉しい夏空,42
昼間も涼しい,40
朝晩はヒンヤリ,40
昼間は穏やかな空に,34
昼間は穏やかな空,33
グンと気温上昇,1030
昼間は洗濯日和,30
昼間は過ごしやすい,30
昼間は気温上がらず,25
朝晩は少し肌寒く,25
