weather_comment,count
穏やかな空,55104
お出かけ日和,44061
秋晴れ,33418
スッキリしない空,32362
日差しが届いても,30966
変わりやすい空,26388
天気下り坂,23666
日差し届く,18361
日差しが届く,17200
穏やかな晴天,17120
穏やかな秋空,16664
穏やかな天気,16099
紅葉狩り日和,16053
雲優勢の空,16034
強雨や雷に注意,15798
日差しの活用を,15635
お出かけＯＫ,15264
段々と雲増量,15061
にわか雨が心配,14632
晴れたり曇ったり,14511
傘がお守り,14029
青空が広がる,13960
ニワカ雨が心配,13768
雲が優勢の空,13449
ニワカ雨に注意,12544
晴れても,11531
秋空が広がる,10950
雲の多い空,10654
青空広がる,10568
行楽日和,10286
強雨や雷雨に注意,7674
にわか雨に注意,9110
雲が主役の空,10154
穏やかな秋の空,9975
パッとしない空,9722
日が差しても,9635
日差したっぷり,9488
雨が心配な空,9086
穏やかな秋晴れ,9007
日差し届くが,8719
強風に注意,2544
段々と天気回復,8369
爽やかな秋空,6729
朝は荒天に注意,111
すっきりしない空,6855
天気は下り坂,6819
変わりやすい天気,6452
気持ちの良い空,5432
スッキリ秋空,5691
天気回復へ,4921
天気回復,4794
雲が優勢,4788
日が差すものの,4618
紅葉が映える空,4602
気持ちの良い秋空,3329
空の変化に注意,3128
雲が主役,3975
天気急変に注意,2972
ドンヨリ空,3792
洗濯日和,3573
小春日和,3548
秋を感じる空,3233
朝はヒンヤリ,2177
空気はカラッと,3141
日向は快適,2136
気持ちの良い秋の空,2136
気温ダウン,2987
空気は乾燥気味,2919
段々と天気回復へ,2899
天気急変が心配,2788
気持ちの良い天気,1703
天気は回復傾向,2692
一日の気温差大,2672
朝は路面凍結に注意,554
昼間は快適,524
昼間は爽やか,494
昼間は薄着で快適,415
絶好の紅葉狩り日和,2408
昼間は半袖で快適,385
爽やかな秋の空,1384
穏やかな秋空に,2375
朝晩と昼間の気温差に注意,357
紅葉映える空,2313
夜は気温低下に注意,170
ゆっくり天気下り坂,2136
午前中ほど吹雪に注意,91
ニワカ雪に注意,1090
昼間も長袖で快適,88
パッとしない天気,2087
昼間も秋服で快適,65
昼間は暑さ対策必須,56
朝の冷え込みに注意,50
昼間は暑さ対策を,48
朝の冷え込みに要注意,48
午前中は吹雪注意,40
沿岸は高波注意,39
連休最終日も行楽日和,2037
朝昼の気温差に注意,35
昼間は快適な体感,33
気まぐれな空,2028
